name,website,description,products_services,country,healthcare_type,status,status_code,source,extraction_method,raw_title,validated_date,state,city,location_summary,location_method
Dopavision,http://dopavision.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:54:56,,,Location not determined,combined_analysis
Ecovery,http://www.ecovery.de,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:54:58,,,Germany,url_analysis
Belle,https://bellehealth.co/de,No description available,Healthcare solutions,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:00,Alabama,Los Angeles,"Los Angeles, Alabama, United States",combined_analysis
Brea,https://brea.app,No description available,Digital health platform,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:01,Berlin,Berlin,"Berlin, Berlin, Germany",combined_analysis
Breathment,https://breathment.com,No description available,Healthcare products and services,Europe,Healthcare Services,Active,200,Discovered,URL domain,,2025-07-21 12:55:02,,,Location not determined,combined_analysis
Cogthera,https://cogthera.de/#erfahren,"Cogthera GmbH, App-basiertes kognitives Training für Menschen mit MCI und leichter Demenz, multimodale Intervention zur kognitiven Förderung","Cogthera GmbH, App-basiertes kognitives Training für Menschen mit MCI und leichter Demenz, multimodale Intervention zur kognitiven Förderung | about"":,""primaryImageOfPage"":,""image"":{""@id"":""https://cogthera.de/#pr",Germany,AI/ML Healthcare,Active,200,Manual,Meta tags,Kognitives Training für Menschen mit MCI und leichter Demenz,2025-07-21 12:55:05,,,Germany,url_analysis
Curecurve,https://curecurve.de/elina-app,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:07,,,Germany,url_analysis
Unknown Company,https://de.becureglobal.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,Fallback,,2025-07-21 12:55:10,Alabama,Los Angeles,"Los Angeles, Alabama, United States",combined_analysis
De,https://de.caona.eu,Error: HTTP <urlopen error [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] ssl/tls alert handshake failure (_ssl.c:1029)>,Healthcare products and services,Europe,Healthcare Services,Error,HTTP <urlopen error [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] ssl/tls alert handshake failure (_ssl.c:1029)>,Discovered,URL domain (error),,2025-07-21 12:55:12,,,Location not determined,combined_analysis
Deepeye,https://deepeye.ai,No description available,AI/Healthcare analytics,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:14,Hamburg,Hamburg,"Hamburg, Hamburg, Germany",combined_analysis
Denton-systems,https://denton-systems.de,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:15,,,Germany,url_analysis
Elixion,https://elixionmedical.com,No description available,Medical services,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:17,Hamburg,Hamburg,"Hamburg, Hamburg, Germany",combined_analysis
Eye2you,https://eye2you.ai,No description available,AI/Healthcare analytics,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:18,Alabama,Los Angeles,"Los Angeles, Alabama, United States",combined_analysis
Fyzo,https://fyzo.de/assistant,No description available,Healthcare products and services,Germany,Healthcare Services,Active,200,Discovered,URL domain,,2025-07-21 12:55:20,,,Germany,url_analysis
Gleea,https://gleea.de,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:21,,,Germany,url_analysis
Unknown Company,https://home.informme.info,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,Fallback,,2025-07-21 12:55:22,,,Germany,combined_analysis
Incontalert,https://incontalert.de,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:24,,,Germany,url_analysis
Sfs-health,https://sfs-healthcare.com,No description available,Healthcare solutions,Europe,AI/ML Healthcare,Active,200,Manual,URL domain,,2025-07-21 12:55:27,Alabama,New York,"New York, Alabama, United States",combined_analysis
Getnutrio,https://shop.getnutrio.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:28,Hamburg,Hamburg,"Hamburg, Hamburg, Germany",combined_analysis
Visioncheckout,https://visioncheckout.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:30,Berlin,Berlin,"Berlin, Berlin, Germany",combined_analysis
Acalta,https://www.acalta.de,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Manual,URL domain,,2025-07-21 12:55:31,,,Germany,url_analysis
Actimi,https://www.actimi.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Manual,URL domain,,2025-07-21 12:55:32,,Stuttgart,"Stuttgart, Germany",combined_analysis
Alfa-ai,https://www.alfa-ai.com,No description available,AI/Healthcare analytics,Europe,AI/ML Healthcare,Active,200,Manual,URL domain,,2025-07-21 12:55:34,,,Location not determined,combined_analysis
Apheris,https://www.apheris.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Manual,URL domain,,2025-07-21 12:55:35,,,Location not determined,combined_analysis
Apodienste,https://www.apodienste.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:36,Berlin,Berlin,"Berlin, Berlin, Germany",combined_analysis
Aporize,https://www.aporize.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,Page title,Aporize,2025-07-21 12:55:38,,,Germany,combined_analysis
Arztlena,https://www.arztlena.com,Error: HTTP <urlopen error [Errno -2] Name or service not known>,Healthcare products and services,Europe,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,URL domain (error),,2025-07-21 12:55:39,,,Location not determined,combined_analysis
Auta,https://www.auta.health,No description available,Healthcare solutions,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:40,Alabama,Los Angeles,"Los Angeles, Alabama, United States",combined_analysis
Avayl,https://www.avayl.tech,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:41,Berlin,Berlin,"Berlin, Berlin, Germany",combined_analysis
Avi,https://www.avimedical.com/avi-impact,No description available,Medical services,Europe,AI/ML Healthcare,Active,200,Manual,URL domain,,2025-07-21 12:55:42,Bavaria,Berlin,"Berlin, Bavaria, Germany",combined_analysis
Biotx,https://www.biotx.ai,No description available,Biotechnology solutions,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:44,,,Germany,combined_analysis
Brainjo,https://www.brainjo.de,No description available,AI/Healthcare analytics,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:45,,,Germany,url_analysis
Careanimations,https://www.careanimations.de,"Wir erleichtern die Patientenberatung in Apotheken mit einfachen, zugänglichen Videos, Piktogrammen und Nachrichten. So unterstützen Sie Patienten bei der richtigen Anwendung ihrer Arzneimittel.","Wir erleichtern die Patientenberatung in Apotheken mit einfachen, zugänglichen Videos, Piktogrammen und Nachrichten. So unterstützen Sie Patienten bei der richtigen Anwendung ihrer Arzneimittel. | Careanimations | about"":,""primaryImageOfPage"":,""image"":{""@id"":""https://car | our products and we strive to reach them all.",Germany,AI/ML Healthcare,Active,200,Discovered,Meta tags,Animierte Informationsvideos | Careanimations,2025-07-21 12:55:48,,,Germany,url_analysis
Climedo,https://www.climedo.de,No description available,Medical services,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:50,,,Germany,url_analysis
Cliniserve,https://www.cliniserve.de,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:52,,,Germany,url_analysis
Comuny,https://www.comuny.de,No description available,Healthcare products and services,Germany,Healthcare Services,Active,200,Discovered,URL domain,,2025-07-21 12:55:53,,,Germany,url_analysis
Cynteract,https://www.cynteract.com/de/rehabilitation,Error: HTTP HTTP Error 404: Not Found,Healthcare products and services,Europe,Healthcare Services,Error,HTTP HTTP Error 404: Not Found,Manual,URL domain (error),,2025-07-21 12:55:55,Delaware,,"Delaware, United States",url_analysis
Deepmentation,https://www.deepmentation.ai,No description available,AI/Healthcare analytics,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:57,,,Germany,url_analysis
Derma2go,https://www.derma2go.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:59,,,Germany,url_analysis
Dianovi,https://www.dianovi.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:56:01,Berlin,Berlin,"Berlin, Berlin, Germany",combined_analysis
Dpv-analytics,https://www.dpv-analytics.com,No description available,AI/Healthcare analytics,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:56:02,Hamburg,Hamburg,"Hamburg, Hamburg, Germany",combined_analysis
Emmora,https://www.emmora.de,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Manual,URL domain,,2025-07-21 12:56:05,,,Germany,url_analysis
Empident,https://www.empident.de,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:56:07,,,Germany,url_analysis
Fitwhit,https://www.fitwhit.de,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Manual,URL domain,,2025-07-21 12:56:09,,,Germany,url_analysis
Floy,https://www.floy.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:56:10,,Munich,"Munich, Germany",combined_analysis
Gesund,https://www.gesund.de/app,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Manual,URL domain,,2025-07-21 12:56:12,,,Germany,url_analysis
Glaice,https://www.glaice.de,No description available,AI/Healthcare analytics,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:56:14,,,Germany,url_analysis
Guide,https://www.guidecare.de,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:56:15,,,Germany,url_analysis
Healthmeapp,https://www.healthmeapp.de/de,No description available,Healthcare solutions,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:56:17,,,Germany,url_analysis
Help-app,https://www.help-app.de,No description available,Digital health platform,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:56:19,,,Germany,url_analysis
Heynanny,https://www.heynanny.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:56:20,,Essen,"Essen, Germany",combined_analysis
Kranus,https://www.kranushealth.com/de/therapien/haeufiger-harndrang,No description available,Healthcare solutions,Europe,AI/ML Healthcare,Active,200,Manual,URL domain,,2025-07-21 12:56:21,Delaware,,"Delaware, United States",url_analysis
Kranus,https://www.kranushealth.com/de/therapien/inkontinenz,No description available,Healthcare solutions,Europe,AI/ML Healthcare,Active,200,Manual,URL domain,,2025-07-21 12:56:22,Delaware,,"Delaware, United States",url_analysis
