name,website,description,products_services,country,healthcare_type,status,status_code,source,extraction_method,raw_title,validated_date,state,city,location_summary,location_method,products
Dopavision,http://dopavision.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:54:56,,,Location not determined,combined_analysis,avi Impact
Ecovery,http://www.ecovery.de,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:54:58,,,Germany,url_analysis,"App auf Rezept bei Rückenschmerzen | eCovery, Endlich eine Rücken-Therapie, die in Ihren Alltag passt., Wie hilft eCovery bei Rückenschmerzen?, Was erwartet Sie in der App?, Sind Sie geeignet?"
Brea,https://brea.app,No description available,Digital health platform,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:01,Berlin,Berlin,"Berlin, Berlin, Germany",combined_analysis,"Brea | App Coming Soon, Deine tägliche Begleitung., Alles aus einer Hand!, Behalte den &Uuml;berblick!, Gewinne ein St&uuml;ck Kontrolle zur&uuml;ck!"
Breathment,https://breathment.com,No description available,Healthcare products and services,Europe,Healthcare Services,Active,200,Discovered,URL domain,,2025-07-21 12:55:02,,,Location not determined,combined_analysis,Redirecting...
Cogthera,https://cogthera.de/#erfahren,"Cogthera GmbH, App-basiertes kognitives Training für Menschen mit MCI und leichter Demenz, multimodale Intervention zur kognitiven Förderung","Cogthera GmbH, App-basiertes kognitives Training für Menschen mit MCI und leichter Demenz, multimodale Intervention zur kognitiven Förderung | about"":,""primaryImageOfPage"":,""image"":{""@id"":""https://cogthera.de/#pr",Germany,AI/ML Healthcare,Active,200,Manual,Meta tags,Kognitives Training für Menschen mit MCI und leichter Demenz,2025-07-21 12:55:05,,,Germany,url_analysis,Cogthera App - Kognitives Training
Curecurve,https://curecurve.de/elina-app,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:07,,,Germany,url_analysis,Elina App
De,https://de.caona.eu,Error: HTTP <urlopen error [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] ssl/tls alert handshake failure (_ssl.c:1029)>,Healthcare products and services,Europe,Healthcare Services,Error,HTTP <urlopen error [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] ssl/tls alert handshake failure (_ssl.c:1029)>,Discovered,URL domain (error),,2025-07-21 12:55:12,,,Location not determined,combined_analysis,DeepEye AI
Deepeye,https://deepeye.ai,No description available,AI/Healthcare analytics,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:14,Hamburg,Hamburg,"Hamburg, Hamburg, Germany",combined_analysis,DeepEye AI
Denton-systems,https://denton-systems.de,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:15,,,Germany,url_analysis,Denton Systems
Elixion,https://elixionmedical.com,No description available,Medical services,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:17,Hamburg,Hamburg,"Hamburg, Hamburg, Germany",combined_analysis,Elixion Medical
Fyzo,https://fyzo.de/assistant,No description available,Healthcare products and services,Germany,Healthcare Services,Active,200,Discovered,URL domain,,2025-07-21 12:55:20,,,Germany,url_analysis,Fyzo Assistant
Gleea,https://gleea.de,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:21,,,Germany,url_analysis,Gleea
Unknown Company,https://home.informme.info,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,Fallback,,2025-07-21 12:55:22,,,Germany,combined_analysis,InformMe - Digitale Aufklärung am eigenen Smartphone
Incontalert,https://incontalert.de,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:24,,,Germany,url_analysis,Incont Alert
Getnutrio,https://shop.getnutrio.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:28,Hamburg,Hamburg,"Hamburg, Hamburg, Germany",combined_analysis,Nutrio App
Visioncheckout,https://visioncheckout.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:30,Berlin,Berlin,"Berlin, Berlin, Germany",combined_analysis,Vision Checkout
Acalta,https://www.acalta.de,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Manual,URL domain,,2025-07-21 12:55:31,,,Germany,url_analysis,"Acalta Health Platform, Patienta App, Acalta Clinics"
Actimi,https://www.actimi.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Manual,URL domain,,2025-07-21 12:55:32,,Stuttgart,"Stuttgart, Germany",combined_analysis,"Actimi Herzinsuffizienz Set, Actimi Notaufnahme-Set"
Alfa-ai,https://www.alfa-ai.com,No description available,AI/Healthcare analytics,Europe,AI/ML Healthcare,Active,200,Manual,URL domain,,2025-07-21 12:55:34,,,Location not determined,combined_analysis,ALFA AI Coach
Apheris,https://www.apheris.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Manual,URL domain,,2025-07-21 12:55:35,,,Location not determined,combined_analysis,apheris
Apodienste,https://www.apodienste.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:36,Berlin,Berlin,"Berlin, Berlin, Germany",combined_analysis,"apodienste | Digitale Prozesse für Apotheken, Google App, var app"
Aporize,https://www.aporize.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,Page title,Aporize,2025-07-21 12:55:38,,,Germany,combined_analysis,Aporize
Arztlena,https://www.arztlena.com,Error: HTTP <urlopen error [Errno -2] Name or service not known>,Healthcare products and services,Europe,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,URL domain (error),,2025-07-21 12:55:39,,,Location not determined,combined_analysis,Arztlena (Product details not available)
Avayl,https://www.avayl.tech,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:41,Berlin,Berlin,"Berlin, Berlin, Germany",combined_analysis,AVAL
Avi,https://www.avimedical.com/avi-impact,No description available,Medical services,Europe,AI/ML Healthcare,Active,200,Manual,URL domain,,2025-07-21 12:55:42,Bavaria,Berlin,"Berlin, Bavaria, Germany",combined_analysis,avi Impact
Biotx,https://www.biotx.ai,No description available,Biotechnology solutions,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:44,,,Germany,combined_analysis,"Causal mapping of the human genome, Customers, Pipeline"
Brainjo,https://www.brainjo.de,No description available,AI/Healthcare analytics,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:45,,,Germany,url_analysis,"brainjo | taking health to the next dimension 😎✨, can app, health app"
Careanimations,https://www.careanimations.de,"Wir erleichtern die Patientenberatung in Apotheken mit einfachen, zugänglichen Videos, Piktogrammen und Nachrichten. So unterstützen Sie Patienten bei der richtigen Anwendung ihrer Arzneimittel.","Wir erleichtern die Patientenberatung in Apotheken mit einfachen, zugänglichen Videos, Piktogrammen und Nachrichten. So unterstützen Sie Patienten bei der richtigen Anwendung ihrer Arzneimittel. | Careanimations | about"":,""primaryImageOfPage"":,""image"":{""@id"":""https://car | our products and we strive to reach them all.",Germany,AI/ML Healthcare,Active,200,Discovered,Meta tags,Animierte Informationsvideos | Careanimations,2025-07-21 12:55:48,,,Germany,url_analysis,"Animierte Informationsvideos | Careanimations, Patienteninformation leicht gemacht, Wir bauen etwas Großes auf, 97 %, 4 Mill."
Climedo,https://www.climedo.de,No description available,Medical services,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:50,,,Germany,url_analysis,"Climedo | Das führende europäische eCOA-System, Schneller mehr Patient:innen erreichen, Dezentraler Produkttest zu einer ergonomischen Matratze, Branchen, Maßgeschneiderte Lösungen für Sie und Ihr Unternehmen"
Cliniserve,https://www.cliniserve.de,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:52,,,Germany,url_analysis,Entlastung in der Pflege
Comuny,https://www.comuny.de,No description available,Healthcare products and services,Germany,Healthcare Services,Active,200,Discovered,URL domain,,2025-07-21 12:55:53,,,Germany,url_analysis,Dieser Account ist zur Zeit nicht erreichbar
Deepmentation,https://www.deepmentation.ai,No description available,AI/Healthcare analytics,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:57,,,Germany,url_analysis,"deepmentation.ai – Wir bringen KI in Ihr Unternehmen., deepmentation, Anwendungen set, Wir set, schaffen Software"
Derma2go,https://www.derma2go.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:59,,,Germany,url_analysis,Online Hautarzt ohne Termin: Schnelle Diagnose
Dianovi,https://www.dianovi.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:56:01,Berlin,Berlin,"Berlin, Berlin, Germany",combined_analysis,Dianovi
Dpv-analytics,https://www.dpv-analytics.com,No description available,AI/Healthcare analytics,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:56:02,Hamburg,Hamburg,"Hamburg, Hamburg, Germany",combined_analysis,DPV Analytics
Emmora,https://www.emmora.de,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Manual,URL domain,,2025-07-21 12:56:05,,,Germany,url_analysis,"und App, Wir set, des Portal"
Empident,https://www.empident.de,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:56:07,,,Germany,url_analysis,"Digitale Zahnarztpraxis - ENG - EMPIDENT, Your Practice: Digitally Connected, Just 4 Easy Steps, Be part of the future from the start!, Our Partners"
Fitwhit,https://www.fitwhit.de,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Manual,URL domain,,2025-07-21 12:56:09,,,Germany,url_analysis,Home
Floy,https://www.floy.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:56:10,,Munich,"Munich, Germany",combined_analysis,Floy
Gesund,https://www.gesund.de/app,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Manual,URL domain,,2025-07-21 12:56:12,,,Germany,url_analysis,"Die gesund.de App - Deine smarte Gesundheitsapp, Bitte aktiviere Javascript in Deinem Browser., Das sagen Trusted Shop Nutzerinnen und Nutzer, Schnell, lokal, unkompliziert, Medikamente online bestellen"
Glaice,https://www.glaice.de,No description available,AI/Healthcare analytics,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:56:14,,,Germany,url_analysis,"GLAICE Health, Creating a future where Diabetes does not define You., Empowering people with diabetes, Developed with leading researchers and diabetologists, Take control of your diabetes"
Guide,https://www.guidecare.de,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:56:15,,,Germany,url_analysis,Kostenlose Beratung zur Verhinderungspflege in Ihrer Nähe
Healthmeapp,https://www.healthmeapp.de/de,No description available,Healthcare solutions,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:56:17,,,Germany,url_analysis,HealthMe die Digitale Ernährungsnavigator App für gesundes Essen
Help-app,https://www.help-app.de,No description available,Digital health platform,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:56:19,,,Germany,url_analysis,HELP Mee Schmerztherapie GmbH
Heynanny,https://www.heynanny.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:56:20,,Essen,"Essen, Germany",combined_analysis,HeyNanny
