url,company_name,extraction_method,status,raw_title,extracted_date
https://elixionmedical.com,Elixion,URL domain,Success,home,2025-07-21 14:31:20
https://www.brainjo.de,Brainjo,URL domain,Success,,2025-07-21 14:31:21
https://www.apodienste.com,Apodienste,URL domain,Success,,2025-07-21 14:31:21
https://www.guidecare.de,Kostenlose Beratung zur Verhinderungspflege in Ihrer Nähe,Page title,Success,Kostenlose Beratung zur Verhinderungspflege in Ihrer Nähe,2025-07-21 14:31:22
https://eye2you.ai,Eye2you,Meta tags,Success,Health AI - Eye2you,2025-07-21 14:31:23
https://sfs-healthcare.com,sfs healthcare,Meta tags,Success,Startseite - sfs healthcare,2025-07-21 14:31:25
https://www.gesund.de/app,Die gesund.de App,Page title,Success,Die gesund.de App - Deine smarte Gesundheitsapp,2025-07-21 14:31:26
https://www.healthmeapp.de/de,HealthMe die Digitale Ernährungsnavigator App für gesundes Essen,Page title,Success,HealthMe die Digitale Ernährungsnavigator App für gesundes Essen,2025-07-21 14:31:29
https://www.arztlena.com,Arztlena,URL domain (fallback),Partial,,2025-07-21 14:31:30
https://www.biotx.ai,Biotx,URL domain,Success,,2025-07-21 14:31:30
https://www.apheris.com,Apheris,Meta tags,Success,Improve AI model performance with life sciences data networks - www.apheris.com,2025-07-21 14:31:31
https://de.caona.eu,Unknown,Failed,Error,,2025-07-21 14:31:31
https://deepeye.ai,AI Therapy Assistant for Retinal Diseases,Page title,Success,AI Therapy Assistant for Retinal Diseases | deepeye Medical,2025-07-21 14:31:33
https://www.empident.de,EMPIDENT,Meta tags,Success,Digitale Zahnarztpraxis - ENG - EMPIDENT,2025-07-21 14:31:35
https://home.informme.info,InformMe,Page title,Success,InformMe - Digitale Aufklärung am eigenen Smartphone,2025-07-21 14:31:36
https://www.kranushealth.com/de/therapien/haeufiger-harndrang,Kranus Health,Meta tags,Success,Die Therapie bei häufigem Harndrang &mdash; Kranus Health,2025-07-21 14:31:36
https://cogthera.de/#erfahren,Cogthera,Meta tags,Success,Kognitives Training für Menschen mit MCI und leichter Demenz,2025-07-21 14:31:38
https://www.actimi.com,ACTIMI Digitaler Datenaustausch nach MDR,Page title,Success,ACTIMI Digitaler Datenaustausch nach MDR,2025-07-21 14:31:39
https://www.emmora.de,Ahorn Gruppe,Meta tags,Success,Die Ahorn Gruppe führt Emmora fort und erweitert ihr digitales Angebot im Bereich Bestattungsvorsorg,2025-07-21 14:31:41
https://incontalert.de,inContAlert &#8211; Regain Control Again.,Page title,Success,inContAlert &#8211; Regain Control Again.,2025-07-21 14:31:42
https://www.acalta.de,Acalta,Page title,Success,Acalta – Rethink Digital Healthcare,2025-07-21 14:31:43
https://www.climedo.de,Climedo,URL domain,Success,,2025-07-21 14:31:45
https://www.deepmentation.ai,deepmentation.ai,Page title,Success,deepmentation.ai – Wir bringen KI in Ihr Unternehmen.,2025-07-21 14:31:47
https://shop.getnutrio.com,Aurora Nutrio,Meta tags,Success,Aurora Nutrio - Deine All-in-One Tracking-Lösung,2025-07-21 14:31:48
https://curecurve.de/elina-app,Solutions &#8211; CureCurve Medical AI,Page title,Success,Solutions &#8211; CureCurve Medical AI,2025-07-21 14:31:49
https://gleea.de,EINFACH RETTEN von Gleea,Page title,Success,EINFACH RETTEN von Gleea - Die App für die Ausbildung im Rettungsdienst | Gleea Educational Software,2025-07-21 14:31:50
https://www.dianovi.com,Dianovi,URL domain,Success,,2025-07-21 14:31:50
https://fyzo.de/assistant,fyzo,Meta tags,Success,fyzo Assistant,2025-07-21 14:31:51
https://www.help-app.de,HELP Mee Schmerztherapie GmbH,Page title,Success,HELP Mee Schmerztherapie GmbH,2025-07-21 14:31:53
https://www.comuny.de,Dieser Account ist zur Zeit nicht erreichbar,Page title,Success,Dieser Account ist zur Zeit nicht erreichbar,2025-07-21 14:31:54
https://www.cynteract.com/de/rehabilitation,Cynteract,URL domain (fallback),Partial,,2025-07-21 14:31:55
https://www.glaice.de,GLAICE Health,Page title,Success,GLAICE Health,2025-07-21 14:31:56
https://denton-systems.de,Denton-systems,URL domain (fallback),Partial,,2025-07-21 14:31:57
https://www.alfa-ai.com,Artificial Intelligence Fitness Coach,Page title,Success,Artificial Intelligence Fitness Coach | ALFA AI,2025-07-21 14:31:58
http://dopavision.com,Dopavision,Meta tags,Success,Dopavision,2025-07-21 14:31:59
https://www.fitwhit.de,Fitwhit,URL domain,Success,Home,2025-07-21 14:32:00
https://www.aporize.com,Aporize,Page title,Success,Aporize,2025-07-21 14:32:02
https://breathment.com,Redirecting...,Page title,Success,Redirecting...,2025-07-21 14:32:03
https://www.floy.com,Floy,Page title,Success,Floy | Maximize. Human. Health.,2025-07-21 14:32:04
https://www.avimedical.com/avi-impact,avi Impact: Digitale Begleitung für Herz,Page title,Success,avi Impact: Digitale Begleitung für Herz-Kreislauf-Erkrankungen,2025-07-21 14:32:04
https://www.careanimations.de,Careanimations,Meta tags,Success,Animierte Informationsvideos | Careanimations,2025-07-21 14:32:06
https://bellehealth.co/de,Belle Health,Meta tags,Success,Belle – Dein PMDS-Tracker,2025-07-21 14:32:07
https://www.dpv-analytics.com,dpv-analytics GmbH,Meta tags,Success,Startseite - dpv-analytics GmbH,2025-07-21 14:32:08
https://visioncheckout.com,visioncheckout,Meta tags,Success,Wir bringen Kassen das Sehen bei - visioncheckout,2025-07-21 14:32:09
https://www.auta.health,Auta Health,Page title,Success,Auta Health,2025-07-21 14:32:10
https://www.derma2go.com,derma2go,Meta tags,Success,Online Hautarzt ohne Termin: Schnelle Diagnose,2025-07-21 14:32:12
https://www.avayl.tech,Avayl,URL domain,Success,,2025-07-21 14:32:13
https://www.kranushealth.com/de/therapien/inkontinenz,Kranus Health,Meta tags,Success,Die Therapie bei häufigem Harndrang &mdash; Kranus Health,2025-07-21 14:32:13
https://www.cliniserve.de,Cliniserve,URL domain,Success,,2025-07-21 14:32:14
http://www.ecovery.de,eCovery,Meta tags,Success,App auf Rezept bei Rückenschmerzen | eCovery,2025-07-21 14:32:16
https://de.becureglobal.com,Becure -,Meta tags,Success,Becure,2025-07-21 14:32:21
https://www.heynanny.com,heycare (former heynanny),Page title,Success,heycare (former heynanny) | Die Benefit-App für Work-Life,2025-07-21 14:32:22
https://brea.app,Brea,Page title,Success,Brea | App Coming Soon,2025-07-21 14:32:23
