name,website,description,location,category,source_directory,employees,funding,domain
Medical,,,Germany,,https://www.medicalstartups.org/country/Germany/,,,
Tech,https://www.tech.de,,Germany,,https://www.medicalstartups.org/country/Germany/,,,www.tech.de
Top 23 Textile Producers in Pennsylvania Review,,"Top 23 Textile Producers in Pennsylvania ReviewExplore the top 23 textile manufacturing companies in Pennsylvania. Get to know industry frontrunners like Bally Ribbon Mills and Davlyn Group, their products, and their contributions.Utah's Premium 19: Top Luxury Travel AgenciesExplore Utah's luxury tr",Germany,,https://www.inven.ai/company-lists/top-22-healthcare-companies-in-germany,,,
Utah's Premium 19: Top Luxury Travel Agencies,,"Utah's Premium 19: Top Luxury Travel AgenciesExplore Utah's luxury travel industry's finest, from Sea Sand Travelâs award-winning services to Black Pearl's exceptional travel resources. Dive into the ultimate luxury travel agencies in Utah.",Germany,,https://www.inven.ai/company-lists/top-22-healthcare-companies-in-germany,,,
21 Premier Energy Storage Enterprises in Georgia,,21 Premier Energy Storage Enterprises in GeorgiaExplore Georgia's top 21 energy storage companies offering innovative solutions like battery storage and power systems. Featuring Stryten Energy and Hannah Solar.,Germany,,https://www.inven.ai/company-lists/top-22-healthcare-companies-in-germany,,,
fresenius-kabi.com,http://www.fresenius-kabi.com,,Germany,,https://www.inven.ai/company-lists/top-22-healthcare-companies-in-germany,,,www.fresenius-kabi.com
gerresheimer.com,http://www.gerresheimer.com,,Germany,,https://www.inven.ai/company-lists/top-22-healthcare-companies-in-germany,,,www.gerresheimer.com
barmer.de,http://www.barmer.de/karriere,,Germany,,https://www.inven.ai/company-lists/top-22-healthcare-companies-in-germany,,,www.barmer.de
dak.de,http://www.dak.de,,Germany,,https://www.inven.ai/company-lists/top-22-healthcare-companies-in-germany,,,www.dak.de
fresenius.de,http://fresenius.de,,Germany,,https://www.inven.ai/company-lists/top-22-healthcare-companies-in-germany,,,fresenius.de
aok.de,https://www.aok.de/arbeitgeber/plus/,,Germany,,https://www.inven.ai/company-lists/top-22-healthcare-companies-in-germany,,,www.aok.de
ikk-classic.de,http://www.ikk-classic.de,,Germany,,https://www.inven.ai/company-lists/top-22-healthcare-companies-in-germany,,,www.ikk-classic.de
heel.com,http://www.heel.com,,Germany,,https://www.inven.ai/company-lists/top-22-healthcare-companies-in-germany,,,www.heel.com
curevac.com,http://curevac.com,,Germany,,https://www.inven.ai/company-lists/top-22-healthcare-companies-in-germany,,,curevac.com
mckesson.eu,http://www.mckesson.eu,,Germany,,https://www.inven.ai/company-lists/top-22-healthcare-companies-in-germany,,,www.mckesson.eu
msd.de,http://www.msd.de,,Germany,,https://www.inven.ai/company-lists/top-22-healthcare-companies-in-germany,,,www.msd.de
lohmann-rauscher.com,https://www.lohmann-rauscher.com,,Germany,,https://www.inven.ai/company-lists/top-22-healthcare-companies-in-germany,,,www.lohmann-rauscher.com
pronovabkk.de,https://www.pronovabkk.de/,,Germany,,https://www.inven.ai/company-lists/top-22-healthcare-companies-in-germany,,,www.pronovabkk.de
merztherapeutics.com,https://www.merztherapeutics.com,,Germany,,https://www.inven.ai/company-lists/top-22-healthcare-companies-in-germany,,,www.merztherapeutics.com
fresenius.com,https://www.fresenius.com/,,Germany,,https://www.inven.ai/company-lists/top-22-healthcare-companies-in-germany,,,www.fresenius.com
medac.de,http://www.medac.de,,Germany,,https://www.inven.ai/company-lists/top-22-healthcare-companies-in-germany,,,www.medac.de
novartis.de,http://www.novartis.de,,Germany,,https://www.inven.ai/company-lists/top-22-healthcare-companies-in-germany,,,www.novartis.de
daiichi-sankyo.eu,http://www.daiichi-sankyo.eu,,Germany,,https://www.inven.ai/company-lists/top-22-healthcare-companies-in-germany,,,www.daiichi-sankyo.eu
hkk.de,http://www.hkk.de,,Germany,,https://www.inven.ai/company-lists/top-22-healthcare-companies-in-germany,,,www.hkk.de
nordmark-pharma.de,https://www.nordmark-pharma.de,,Germany,,https://www.inven.ai/company-lists/top-22-healthcare-companies-in-germany,,,www.nordmark-pharma.de
crs-group.de,http://www.crs-group.de,,Germany,,https://www.inven.ai/company-lists/top-22-healthcare-companies-in-germany,,,www.crs-group.de
profil.com,http://www.profil.com,,Germany,,https://www.inven.ai/company-lists/top-22-healthcare-companies-in-germany,,,www.profil.com
Protembis GmbH,,"Protembis GmbHCure the heart, protect the brain. ProtEmbo® Cerebral Embolic Protectionn",Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
See full page,,"See full pagePeople, funding & more",Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
Neotiv,https://www.neotiv.com,NeotivEnabling cognitive health.,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,www.neotiv.com
Ada Health,https://www.adahealth.de,"Ada HealthAda is an advanced AI symptom assessment, triage and care navigation tool.",Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,www.adahealth.de
Innovative Molecules,https://www.innovativemolecules.com,Innovative MoleculesDeveloping Next-Generation Treatments for Herpes Simplex-Induced diseases.,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,www.innovativemolecules.com
XO Life,,XO LifeMeta platform for digital product- and treatment support of all patients,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
FORMEL Skin,https://www.formelskin.de,FORMEL SkinQuick access to quality medical care online,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,www.formelskin.de
Avelios Medical,,Avelios MedicalDigitizing hospitals for better patient care,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
Breathment,https://www.breathment.com,BreathmentDigitizing Pulmonary Rehabilitation,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,www.breathment.com
MindPeak GmbH,,MindPeak GmbHDeveloper of artificial intelligence-based visual diagnosis platform,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
Patient21,https://patient21.com,Patient21Healthcare made for you,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,patient21.com
Cara.Care,,Cara.CareEmpowers individual with digestive issues to enjoy a healthier happier life,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
Medwing,https://www.medwing.com,Medwing,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,www.medwing.com
Wellster Healthtech,,Wellster HealthtechHealthcare experiences. Human-centered. Better everyday health.,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
Hale Health,,Hale HealthThe virtual clinic for gynecology.,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
Avi Medical,https://www.avimedical.com,Avi MedicalDemocratizing best-in-class medical care for a healthier society,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,www.avimedical.com
Custom Surgical,https://www.customsurgical.com,Custom SurgicalAI-driven eyecare solutions for efficient diagnostic management.,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,www.customsurgical.com
HelloBetter,https://www.hellobetter.com,HelloBetterDigital Therapeutics for Mental Health,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,www.hellobetter.com
Dopavision,https://www.dopavision.com,"DopavisionWe are set to treat myopia, digitally.",Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,www.dopavision.com
Clue,https://www.clue.com,ClueClue is a female health application for period and fertility tracking,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,www.clue.com
TEDIRO Healthcare Robotics,,TEDIRO Healthcare Robotics,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
LillianCare,,LillianCareLillian is building innovative healthcare facilities across the country.,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
TRiCares GmbH,,TRiCares GmbH,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
Refoxy Pharma,,Refoxy PharmaDiscovering medicines to treat age-related diseases,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
LipoCheck,https://www.lipocheck.de,LipoCheckAI-powered Health Platform to improve diagnostic and care for Lipedema,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,www.lipocheck.de
Tomorrow Biostasis GmbH,,Tomorrow Biostasis GmbHStart your journey to the future with our Complete Cryopreservation Program,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
Temedica GmbH,,Temedica GmbH,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
Mimi Hearing Technologies,,"Mimi Hearing TechnologiesWe build ""glasses for your ears"" by personalizing sound to your hearing.",Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
Complement Therapeutics,,Complement Therapeutics,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
Clay Health GmbH,,Clay Health GmbHThe First Mental Health Training Club,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
Orbit Health GmbH,,Orbit Health GmbHA digital biomarkers lab using AI and sensor tech to improve chronic care,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
BIOVOX GmbH,,"BIOVOX GmbHBioplastics for Medtech, Pharma & Laboratory with certified safety.",Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
QraGo,https://www.qrago.de,QraGoQraGo - Delegating non-emergency patient transports,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,www.qrago.de
Sympatient GmbH,,Sympatient GmbHWe build the future of anxiety therapy.,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
Qunomedical,https://www.qunomedical.com,QunomedicalQunomedical is a digital health platform that is providing patients worldwi,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,www.qunomedical.com
ADA.io,,ADA.ioPersonal Health Companion,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
Vara AI,,Vara AI,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
inContAlert GmbH,,inContAlert GmbHDeveloping a sensor technology to measure the bladder filling level,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
Virtonomy,https://www.virtonomy.com,VirtonomyData driven clinical trials on Virtual Patients,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,www.virtonomy.com
Epigenics,https://www.epigenics.de,Epigenics,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,www.epigenics.de
NanoSen GmbH,,NanoSen GmbHWe manufacture polymer nanocomposite-based material for force-sensing,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
Fyrce Care,https://www.fyrcecare.com,"Fyrce CareWe make egg freezing more transparent, accessible, and smoother for women.",Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,www.fyrcecare.com
Myo (myo.de),,Myo (myo.de)myo digitizes communication in geriatric care,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
Careloop (careloop.io),,Careloop (careloop.io)Choose A Job You Love In Germany,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
PINZON Health,,PINZON HealthDelight your private patients with the most modern telemedicine solution,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
Sphingotec,https://www.sphingotec.com,Sphingotec,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,www.sphingotec.com
cns therapy ag,,cns therapy agWe make chronic pain patients pain-free using Therapy and Neuromodulation.,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
GlucoFit,https://www.glucofit.de,"GlucoFitIntegrated, digital, personalized diabetes therapy",Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,www.glucofit.de
dermanostic GmbH,,"dermanostic GmbHdermanostic - ""dermatologist via app""",Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
Munevo,https://munevo.com,Munevomunevo provides medical & assistive solutions based on smart glasses,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,munevo.com
Enzymaster,https://www.enzymaster.com,Enzymaster,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,www.enzymaster.com
Merz Pharma,,Merz PharmaLive better. Feel better. Look better.,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
Skinuvita,https://www.skinuvita.com,SkinuvitaReinventing phototherapy by enabling tele-medical home treatment,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,www.skinuvita.com
DeinePflege,https://www.deinepflege.de,DeinePflegeCentral platform for all administration tasks around outpatient care.,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,www.deinepflege.de
wellabe GmbH,,"wellabe GmbHwellabe empowers people to live a better, healthier and longer life",Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
Kinfinity,,KinfinityRedefining Interactions,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
Heartbeat Medical,,"Heartbeat MedicalLeverage patient-reported outcomes, clinical data, and real-world evidence.",Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
Audibene.de,,Audibene.deaudibene is the fastest-growing hearing care company ever.,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
Doctorina,https://doctorina.com,"DoctorinaAI Doctor provides accurate AI diagnostics, consultations, and prescription",Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,doctorina.com
Rhön-Klinikum,,Rhön-Klinikum,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
Vivoryon Therapeutics,,Vivoryon TherapeuticsDevelopment of drugs for Alzheimer's disease,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
EyeSense,https://www.eyesense.com,EyeSenseNext-generation glucose measuring devices,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,www.eyesense.com
Molecule AG,,Molecule AGWe propel science from lab to life,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
Konsilmed,https://www.konsilmed.com,KonsilmedKonsilmed is a Germany Healthcare services company,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,www.konsilmed.com
Krankenhaus.de - Spitality GmbH,,Krankenhaus.de - Spitality GmbHBooking.com for hospitals,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
Myo-care,https://www.myo-care.com,Myo-careCommunication Platform for the healthcare market,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,www.myo-care.com
Mindpax,,MindpaxMinpdax predicts relapses of mental health patients suffering from bipolar,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
Vivira,https://www.vivira.com,ViviraYour prescription app for back pain,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,www.vivira.com
IoCare / RICA,,IoCare / RICARICA gives peace of mind to caregivers and security to the elderly caretake,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
WM Therapeutics,,WM TherapeuticsWe make cancer therapeutics,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
Epimune Diagnostics,,Epimune DiagnosticsPioneering Molecular Immune Cell Quantification,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
Apriwell,https://www.apriwell.de,ApriwellEnabling vibrant lifes with human-first health solutions,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,www.apriwell.de
MeinDoc,,MeinDocE-health startup that improves patient's understanding of surgical problems,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
m.Doc GmbH,,"m.Doc GmbHHolistic medical services at the ""point of care"" – anytime and anywhere",Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
Pflegli,,PflegliPflegli - We stop the huge lack of caregivers,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
GeneHolistics,https://www.geneholistics.de,GeneHolisticsScientific Consulting in Systems Biology and Genomical Research,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,www.geneholistics.de
Braineffect,,BraineffectProducer of food products & supplements intended to optimize mental health.,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
KiE-Health,https://www.kie-health.com,KiE-Health,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,www.kie-health.com
JustHealth,https://www.justhealth.com,JustHealthNext gen. monitoring and companion platform for personalized cancer care,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,www.justhealth.com
Doctari.de,,"Doctari.deWith you, we care.",Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
Karrierenetzwerk Ophtalmologie,,"Karrierenetzwerk OphtalmologieYour advice: competent, discreet & binding!",Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
meevo Healthcare GmbH,,meevo Healthcare GmbHThe modern medical supply store online and in Hamburg.,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
Innomeda GmbH,,Innomeda GmbHKlinikradar.de - data-driven healthcare aggregator platform with >3M users.,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
AkknaTek GmbH.,,AkknaTek GmbH.Ocular imaging system for cataract treatment,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
Movacare,https://www.movacare.de,MovacareWe offer a wearable solution to tackle problems in elderly care,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,www.movacare.de
Zana Technologies GmbH,,Zana Technologies GmbHWe make healthcare talk human,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,
Empident,https://www.empident.de,EmpidentThe Fitbit for your Teeth - your companion for better oral health.,Germany,,https://www.f6s.com/companies/health-medical/germany/co,,,www.empident.de
10 M-sense – App against migraine becomes digital health app,https://www.bfarm.de/EN/MedicalDevices/DiGA/_node.html,"The e-health segment has been considered one of the up-and-coming topics in the startup scene for years. Digital transformation in the healthcare system is one of the major future issues of our time. The consequences of skills shortage, urbanization ",Germany,,https://www.spinlab.co/blog/10-promising-ehealth-startups-from-germany,,,www.bfarm.de
Written byLinh Pham,,"Written byLinh PhamLinh holds a master's degree in media and communications. In the past years, she has worked as an employee and freelancer in different editorial offices. Since 2020 she is part of the SpinLab team and is now responsible for public ",Germany,,https://www.spinlab.co/blog/10-promising-ehealth-startups-from-germany,,,
Drop in a comment,,Drop in a comment,Germany,,https://www.spinlab.co/blog/10-promising-ehealth-startups-from-germany,,,
Our Ecosystem,//bitroad.de?hsLang=en,Our Ecosystem,Germany,,https://www.spinlab.co/blog/10-promising-ehealth-startups-from-germany,,,bitroad.de
Popular Guides,,Popular GuidesStartup AcceleratorsPublic GrantsProduct Market FitCoworking SpacesStartup Logos,Germany,,https://www.spinlab.co/blog/10-promising-ehealth-startups-from-germany,,,
